timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"03:52 (MDT)","05:59 (MDT)","13:31 (MDT)","17:36 (MDT)","21:04 (MDT)","21:04 (MDT)","23:12 (MDT)","03:42 (MDT)","01:32 (MDT)","00:02 (MDT)","03:01 (MDT)","01 May 2023",1682953261,01-05-2023,DD-MM-YYYY,01,Monday,5,May,2023,AD,"Anno Domini",10-10-1444,DD-MM-YYYY,10,"Al Athnayn",الاثنين,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:49 (MDT)","05:57 (MDT)","13:31 (MDT)","17:37 (MDT)","21:06 (MDT)","21:06 (MDT)","23:15 (MDT)","03:39 (MDT)","01:31 (MDT)","00:03 (MDT)","03:00 (MDT)","02 May 2023",1683039661,02-05-2023,DD-MM-YYYY,02,Tuesday,5,May,2023,AD,"Anno Domini",11-10-1444,DD-MM-YYYY,11,"Al Thalaata",الثلاثاء,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:45 (MDT)","05:55 (MDT)","13:31 (MDT)","17:37 (MDT)","21:08 (MDT)","21:08 (MDT)","23:18 (MDT)","03:35 (MDT)","01:31 (MDT)","00:03 (MDT)","02:59 (MDT)","03 May 2023",1683126061,03-05-2023,DD-MM-YYYY,03,Wednesday,5,May,2023,AD,"Anno Domini",12-10-1444,DD-MM-YYYY,12,"Al Arba'a",الاربعاء,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:42 (MDT)","05:53 (MDT)","13:31 (MDT)","17:38 (MDT)","21:09 (MDT)","21:09 (MDT)","23:20 (MDT)","03:32 (MDT)","01:31 (MDT)","00:04 (MDT)","02:59 (MDT)","04 May 2023",1683212461,04-05-2023,DD-MM-YYYY,04,Thursday,5,May,2023,AD,"Anno Domini",13-10-1444,DD-MM-YYYY,13,"Al Khamees",الخميس,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:41 (MDT)","05:51 (MDT)","13:31 (MDT)","17:39 (MDT)","21:11 (MDT)","21:11 (MDT)","23:21 (MDT)","03:31 (MDT)","01:31 (MDT)","00:04 (MDT)","02:58 (MDT)","05 May 2023",1683298861,05-05-2023,DD-MM-YYYY,05,Friday,5,May,2023,AD,"Anno Domini",14-10-1444,DD-MM-YYYY,14,"Al Juma'a",الجمعة,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:40 (MDT)","05:49 (MDT)","13:31 (MDT)","17:40 (MDT)","21:13 (MDT)","21:13 (MDT)","23:22 (MDT)","03:30 (MDT)","01:31 (MDT)","00:05 (MDT)","02:57 (MDT)","06 May 2023",1683385261,06-05-2023,DD-MM-YYYY,06,Saturday,5,May,2023,AD,"Anno Domini",15-10-1444,DD-MM-YYYY,15,"Al Sabt",السبت,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:39 (MDT)","05:47 (MDT)","13:31 (MDT)","17:40 (MDT)","21:15 (MDT)","21:15 (MDT)","23:23 (MDT)","03:29 (MDT)","01:31 (MDT)","00:06 (MDT)","02:56 (MDT)","07 May 2023",1683471661,07-05-2023,DD-MM-YYYY,07,Sunday,5,May,2023,AD,"Anno Domini",16-10-1444,DD-MM-YYYY,16,"Al Ahad",الاحد,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:38 (MDT)","05:45 (MDT)","13:30 (MDT)","17:41 (MDT)","21:16 (MDT)","21:16 (MDT)","23:24 (MDT)","03:28 (MDT)","01:31 (MDT)","00:06 (MDT)","02:56 (MDT)","08 May 2023",1683558061,08-05-2023,DD-MM-YYYY,08,Monday,5,May,2023,AD,"Anno Domini",17-10-1444,DD-MM-YYYY,17,"Al Athnayn",الاثنين,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:37 (MDT)","05:44 (MDT)","13:30 (MDT)","17:42 (MDT)","21:18 (MDT)","21:18 (MDT)","23:24 (MDT)","03:27 (MDT)","01:31 (MDT)","00:07 (MDT)","02:55 (MDT)","09 May 2023",1683644461,09-05-2023,DD-MM-YYYY,09,Tuesday,5,May,2023,AD,"Anno Domini",18-10-1444,DD-MM-YYYY,18,"Al Thalaata",الثلاثاء,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:36 (MDT)","05:42 (MDT)","13:30 (MDT)","17:42 (MDT)","21:20 (MDT)","21:20 (MDT)","23:25 (MDT)","03:26 (MDT)","01:31 (MDT)","00:07 (MDT)","02:54 (MDT)","10 May 2023",1683730861,10-05-2023,DD-MM-YYYY,10,Wednesday,5,May,2023,AD,"Anno Domini",19-10-1444,DD-MM-YYYY,19,"Al Arba'a",الاربعاء,10,Shawwāl,شَوّال,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
